narration_id,video_id,noun,noun_class,all_nouns,all_noun_classes
P01_109_109.jpg,P01_109,knife,4,knife,4
P01_109_111.jpg,P01_109,bit:potato,30,knife,4
P01_109_113.jpg,P01_109,slice:potato,30,knife,4
P01_109_115.jpg,P01_109,potato,30,knife,4
P01_109_117.jpg,P01_109,knife,4,knife,4
P01_109_12.jpg,P01_109,drawer,8,drawer,8
P01_109_13.jpg,P01_109,beer,231,drawer,8
P01_109_134.jpg,P01_109,hand,11,hand,11
P01_109_136.jpg,P01_109,knife,4,knife,4
P01_109_138.jpg,P01_109,knife,4,knife,4
P01_109_14.jpg,P01_109,beer,231,drawer,8
P01_109_15.jpg,P01_109,beer,231,drawer,8
P01_109_155.jpg,P01_109,pan,5,pan,5
P01_109_156.jpg,P01_109,pan,5,pan,5
P01_109_157.jpg,P01_109,knife,4,knife,4
P01_109_16.jpg,P01_109,drawer,8,drawer,8
P01_109_160.jpg,P01_109,tap,0,tap,0
P01_109_161.jpg,P01_109,hand,11,hand,11
P01_109_162.jpg,P01_109,tap,0,tap,0
P01_109_163.jpg,P01_109,hand,11,hand,11
P01_109_164.jpg,P01_109,cloth,17,cloth,17
P01_109_165.jpg,P01_109,hand,11,hand,11
P01_109_166.jpg,P01_109,cloth,17,cloth,17
P01_109_174.jpg,P01_109,knife,4,knife,4
P01_109_175.jpg,P01_109,plate,2,plate,2
P01_109_176.jpg,P01_109,plate,2,plate,2
P01_109_177.jpg,P01_109,plate,2,plate,2
P01_109_181.jpg,P01_109,lid,6,lid,6
P01_109_189.jpg,P01_109,hand,11,hand,11
P01_109_202.jpg,P01_109,surface,42,hand,11
P01_109_204.jpg,P01_109,tap,0,tap,0
P01_109_205.jpg,P01_109,hand,11,hand,11
P01_109_206.jpg,P01_109,tap,0,tap,0
P01_109_207.jpg,P01_109,hand,11,hand,11
P01_109_209.jpg,P01_109,hand,11,hand,11
P01_109_210.jpg,P01_109,cloth,17,cloth,17
P01_109_211.jpg,P01_109,hand,11,hand,11
P01_109_212.jpg,P01_109,cloth,17,cloth,17
P01_109_216.jpg,P01_109,knife,4,knife,4
P01_109_218.jpg,P01_109,onion,16,onion,16
P01_109_219.jpg,P01_109,knife,4,knife,4
P01_109_220.jpg,P01_109,knife,4,knife,4
P01_109_221.jpg,P01_109,onion,16,onion,16
P01_109_222.jpg,P01_109,onion,16,onion,16
P01_109_223.jpg,P01_109,knife,4,knife,4
P01_109_225.jpg,P01_109,knife,4,knife,4
P01_109_226.jpg,P01_109,onion,16,onion,16
P01_109_227.jpg,P01_109,onion,16,onion,16
P01_109_229.jpg,P01_109,onion,16,onion,16
P01_109_23.jpg,P01_109,spoon,1,spoon,1
P01_109_230.jpg,P01_109,onion,16,onion,16
P01_109_231.jpg,P01_109,onion,16,onion,16
P01_109_232.jpg,P01_109,onion,16,onion,16
P01_109_233.jpg,P01_109,onion,16,onion,16
P01_109_234.jpg,P01_109,onion,16,onion,16
P01_109_235.jpg,P01_109,onion,16,onion,16
P01_109_236.jpg,P01_109,hand,11,hand,11
P01_109_237.jpg,P01_109,drawer,8,drawer,8
P01_109_238.jpg,P01_109,spatula,20,spatula,20
P01_109_239.jpg,P01_109,drawer,8,drawer,8
P01_109_24.jpg,P01_109,drawer,8,drawer,8
P01_109_240.jpg,P01_109,pan,5,pan,5
P01_109_245.jpg,P01_109,spatula,20,spatula,20
P01_109_246.jpg,P01_109,drawer,8,drawer,8
P01_109_247.jpg,P01_109,fork,14,fork,14
P01_109_248.jpg,P01_109,drawer,8,drawer,8
P01_109_249.jpg,P01_109,slice:potato,30,fork,14
P01_109_25.jpg,P01_109,spoon,1,spoon,1
P01_109_25.jpg,P01_109,spoon,1,drawer,8
P01_109_250.jpg,P01_109,slice:potato,30,fork,14
P01_109_251.jpg,P01_109,fork,14,fork,14
P01_109_252.jpg,P01_109,spatula,20,spatula,20
P01_109_26.jpg,P01_109,drawer,8,drawer,8
P01_109_260.jpg,P01_109,spatula,20,spatula,20
P01_109_261.jpg,P01_109,tap,0,tap,0
P01_109_262.jpg,P01_109,hand,11,hand,11
P01_109_263.jpg,P01_109,tap,0,tap,0
P01_109_264.jpg,P01_109,hand,11,hand,11
P01_109_265.jpg,P01_109,cloth,17,cloth,17
P01_109_266.jpg,P01_109,hand,11,hand,11
P01_109_267.jpg,P01_109,cloth,17,cloth,17
P01_109_272.jpg,P01_109,hand,11,hand,11
P01_109_274.jpg,P01_109,tap,0,tap,0
P01_109_275.jpg,P01_109,hand,11,hand,11
P01_109_276.jpg,P01_109,tap,0,tap,0
P01_109_277.jpg,P01_109,hand,11,hand,11
P01_109_278.jpg,P01_109,cloth,17,cloth,17
P01_109_279.jpg,P01_109,hand,11,hand,11
P01_109_28.jpg,P01_109,hand,11,hand,11
P01_109_280.jpg,P01_109,cloth,17,cloth,17
P01_109_281.jpg,P01_109,spatula,20,spatula,20
P01_109_283.jpg,P01_109,spatula,20,spatula,20
P01_109_29.jpg,P01_109,tap,0,tap,0
P01_109_290.jpg,P01_109,spatula,20,spatula,20
P01_109_292.jpg,P01_109,fork,14,fork,14
P01_109_293.jpg,P01_109,slice:potato,30,fork,14
P01_109_294.jpg,P01_109,slice:potato,30,fork,14
P01_109_295.jpg,P01_109,fork,14,fork,14
P01_109_297.jpg,P01_109,spatula,20,spatula,20
P01_109_298.jpg,P01_109,cupboard,3,cupboard,3
P01_109_299.jpg,P01_109,bowl,7,bowl,7
P01_109_30.jpg,P01_109,hand,11,hand,11
P01_109_300.jpg,P01_109,bowl,7,bowl,7
P01_109_301.jpg,P01_109,fork,14,fork,14
P01_109_302.jpg,P01_109,fork,14,fork,14
P01_109_303.jpg,P01_109,onion,16,onion,16
P01_109_304.jpg,P01_109,knife,4,knife,4
P01_109_305.jpg,P01_109,knife,4,knife,4
P01_109_306.jpg,P01_109,onion,16,onion,16
P01_109_307.jpg,P01_109,onion,16,onion,16
P01_109_308.jpg,P01_109,knife,4,knife,4
P01_109_309.jpg,P01_109,onion,16,onion,16
P01_109_31.jpg,P01_109,tap,0,tap,0
P01_109_312.jpg,P01_109,knife,4,knife,4
P01_109_313.jpg,P01_109,hand,11,hand,11
P01_109_314.jpg,P01_109,onion,16,onion,16
P01_109_315.jpg,P01_109,knife,4,knife,4
P01_109_316.jpg,P01_109,hand,11,hand,11
P01_109_317.jpg,P01_109,spatula,20,spatula,20
P01_109_319.jpg,P01_109,spatula,20,spatula,20
P01_109_32.jpg,P01_109,hand,11,hand,11
P01_109_320.jpg,P01_109,fork,14,fork,14
P01_109_321.jpg,P01_109,slice:potato,30,fork,14
P01_109_323.jpg,P01_109,fork,14,fork,14
P01_109_324.jpg,P01_109,spatula,20,spatula,20
P01_109_326.jpg,P01_109,spatula,20,spatula,20
P01_109_327.jpg,P01_109,knife,4,knife,4
P01_109_328.jpg,P01_109,onion,16,onion,16
P01_109_329.jpg,P01_109,knife,4,knife,4
P01_109_33.jpg,P01_109,cloth,17,cloth,17
P01_109_330.jpg,P01_109,hand,11,hand,11
P01_109_331.jpg,P01_109,knife,4,knife,4
P01_109_332.jpg,P01_109,cupboard,3,cupboard,3
P01_109_333.jpg,P01_109,glass,10,glass,10
P01_109_334.jpg,P01_109,tap,0,tap,0
P01_109_335.jpg,P01_109,water,27,glass,10
P01_109_336.jpg,P01_109,tap,0,tap,0
P01_109_338.jpg,P01_109,tap,0,tap,0
P01_109_339.jpg,P01_109,water,27,glass,10
P01_109_34.jpg,P01_109,hand,11,hand,11
P01_109_340.jpg,P01_109,tap,0,tap,0
P01_109_342.jpg,P01_109,glass,10,glass,10
P01_109_343.jpg,P01_109,spatula,20,spatula,20
P01_109_345.jpg,P01_109,spatula,20,spatula,20
P01_109_346.jpg,P01_109,spatula,20,spatula,20
P01_109_347.jpg,P01_109,spatula,20,spatula,20
P01_109_35.jpg,P01_109,cloth,17,cloth,17
P01_109_351.jpg,P01_109,spatula,20,spatula,20
P01_109_354.jpg,P01_109,spatula,20,spatula,20
P01_109_361.jpg,P01_109,knife,4,knife,4
P01_109_374.jpg,P01_109,bowl,7,bowl,7
P01_109_375.jpg,P01_109,bowl,7,bowl,7
P01_109_387.jpg,P01_109,tap,0,tap,0
P01_109_388.jpg,P01_109,hand,11,hand,11
P01_109_389.jpg,P01_109,tap,0,tap,0
P01_109_39.jpg,P01_109,cupboard,3,cupboard,3
P01_109_390.jpg,P01_109,hand,11,hand,11
P01_109_391.jpg,P01_109,cloth,17,cloth,17
P01_109_392.jpg,P01_109,hand,11,hand,11
P01_109_393.jpg,P01_109,cloth,17,cloth,17
P01_109_394.jpg,P01_109,spatula,20,spatula,20
P01_109_396.jpg,P01_109,spatula,20,spatula,20
P01_109_397.jpg,P01_109,drawer,8,drawer,8
P01_109_398.jpg,P01_109,fork,14,fork,14
P01_109_399.jpg,P01_109,drawer,8,drawer,8
P01_109_4.jpg,P01_109,onion,16,onion,16
P01_109_40.jpg,P01_109,pan,5,pan,5
P01_109_405.jpg,P01_109,lid,6,lid,6
P01_109_408.jpg,P01_109,fork,14,fork,14
P01_109_409.jpg,P01_109,fork,14,fork,14
P01_109_41.jpg,P01_109,pan,5,pan,5
P01_109_411.jpg,P01_109,fork,14,fork,14
P01_109_413.jpg,P01_109,fork,14,fork,14
P01_109_415.jpg,P01_109,fork,14,fork,14
P01_109_42.jpg,P01_109,pan,5,pan,5
P01_109_429.jpg,P01_109,tap,0,tap,0
P01_109_43.jpg,P01_109,pan,5,pan,5
P01_109_430.jpg,P01_109,hand,11,hand,11
P01_109_431.jpg,P01_109,tap,0,tap,0
P01_109_432.jpg,P01_109,hand,11,hand,11
P01_109_433.jpg,P01_109,cloth,17,cloth,17
P01_109_434.jpg,P01_109,hand,11,hand,11
P01_109_435.jpg,P01_109,cloth,17,cloth,17
P01_109_436.jpg,P01_109,spatula,20,spatula,20
P01_109_438.jpg,P01_109,spatula,20,spatula,20
P01_109_44.jpg,P01_109,pan,5,pan,5
P01_109_443.jpg,P01_109,spatula,20,spatula,20
P01_109_445.jpg,P01_109,cloth,17,cloth,17
P01_109_446.jpg,P01_109,hand,11,hand,11
P01_109_447.jpg,P01_109,cloth,17,cloth,17
P01_109_448.jpg,P01_109,spatula,20,spatula,20
P01_109_45.jpg,P01_109,pan,5,pan,5
P01_109_460.jpg,P01_109,spatula,20,spatula,20
P01_109_463.jpg,P01_109,tap,0,tap,0
P01_109_464.jpg,P01_109,hand,11,hand,11
P01_109_465.jpg,P01_109,tap,0,tap,0
P01_109_466.jpg,P01_109,hand,11,hand,11
P01_109_467.jpg,P01_109,cloth,17,cloth,17
P01_109_468.jpg,P01_109,hand,11,hand,11
P01_109_469.jpg,P01_109,cloth,17,cloth,17
P01_109_47.jpg,P01_109,cupboard,3,cupboard,3
P01_109_470.jpg,P01_109,spatula,20,spatula,20
P01_109_475.jpg,P01_109,spatula,20,spatula,20
P01_109_486.jpg,P01_109,tap,0,tap,0
P01_109_487.jpg,P01_109,hand,11,hand,11
P01_109_488.jpg,P01_109,tap,0,tap,0
P01_109_489.jpg,P01_109,hand,11,hand,11
P01_109_490.jpg,P01_109,cloth,17,cloth,17
P01_109_491.jpg,P01_109,hand,11,hand,11
P01_109_492.jpg,P01_109,cloth,17,cloth,17
P01_109_493.jpg,P01_109,spatula,20,spatula,20
P01_109_496.jpg,P01_109,bit:potato,30,spatula,20
P01_109_499.jpg,P01_109,spatula,20,spatula,20
P01_109_5.jpg,P01_109,onion,16,onion,16
P01_109_500.jpg,P01_109,tap,0,tap,0
P01_109_501.jpg,P01_109,hand,11,hand,11
P01_109_502.jpg,P01_109,tap,0,tap,0
P01_109_503.jpg,P01_109,hand,11,hand,11
P01_109_504.jpg,P01_109,cloth,17,cloth,17
P01_109_505.jpg,P01_109,hand,11,hand,11
P01_109_506.jpg,P01_109,cloth,17,cloth,17
P01_109_507.jpg,P01_109,spatula,20,spatula,20
P01_109_514.jpg,P01_109,spatula,20,spatula,20
P01_109_517.jpg,P01_109,cloth,17,cloth,17
P01_109_518.jpg,P01_109,hand,11,hand,11
P01_109_519.jpg,P01_109,cloth,17,cloth,17
P01_109_52.jpg,P01_109,drawer,8,drawer,8
P01_109_522.jpg,P01_109,cloth,17,cloth,17
P01_109_523.jpg,P01_109,hand,11,hand,11
P01_109_524.jpg,P01_109,cloth,17,cloth,17
P01_109_525.jpg,P01_109,spatula,20,spatula,20
P01_109_532.jpg,P01_109,spatula,20,spatula,20
P01_109_533.jpg,P01_109,cloth,17,cloth,17
P01_109_534.jpg,P01_109,hand,11,hand,11
P01_109_535.jpg,P01_109,cloth,17,cloth,17
P01_109_536.jpg,P01_109,glass,10,glass,10
P01_109_537.jpg,P01_109,tap,0,tap,0
P01_109_538.jpg,P01_109,water,27,glass,10
P01_109_539.jpg,P01_109,tap,0,tap,0
P01_109_54.jpg,P01_109,drawer,8,drawer,8
P01_109_541.jpg,P01_109,glass,10,glass,10
P01_109_542.jpg,P01_109,cloth,17,cloth,17
P01_109_543.jpg,P01_109,hand,11,hand,11
P01_109_544.jpg,P01_109,cloth,17,cloth,17
P01_109_545.jpg,P01_109,spatula,20,spatula,20
P01_109_547.jpg,P01_109,spatula,20,spatula,20
P01_109_548.jpg,P01_109,knife,4,knife,4
P01_109_550.jpg,P01_109,onion,16,onion,16
P01_109_550.jpg,P01_109,onion,16,pan,5
P01_109_551.jpg,P01_109,board:cutting,18,knife,4
P01_109_552.jpg,P01_109,spatula,20,spatula,20
P01_109_556.jpg,P01_109,spatula,20,spatula,20
P01_109_559.jpg,P01_109,sponge,9,sponge,9
P01_109_560.jpg,P01_109,liquid:washing:up,22,sponge,9
P01_109_563.jpg,P01_109,tap,0,tap,0
P01_109_564.jpg,P01_109,sponge,9,sponge,9
P01_109_565.jpg,P01_109,tap,0,tap,0
P01_109_566.jpg,P01_109,knife,4,knife,4
P01_109_567.jpg,P01_109,knife,4,knife,4
P01_109_568.jpg,P01_109,knife,4,knife,4
P01_109_574.jpg,P01_109,sponge,9,sponge,9
P01_109_575.jpg,P01_109,tap,0,tap,0
P01_109_577.jpg,P01_109,hand,11,hand,11
P01_109_579.jpg,P01_109,hand,11,hand,11
P01_109_581.jpg,P01_109,knife,4,knife,4
P01_109_582.jpg,P01_109,knife,4,knife,4
P01_109_583.jpg,P01_109,knife,4,knife,4
P01_109_586.jpg,P01_109,tap,0,tap,0
P01_109_588.jpg,P01_109,cloth,17,cloth,17
P01_109_589.jpg,P01_109,hand,11,hand,11
P01_109_590.jpg,P01_109,cloth,17,cloth,17
P01_109_591.jpg,P01_109,spatula,20,spatula,20
P01_109_595.jpg,P01_109,onion,16,onion,16
P01_109_597.jpg,P01_109,spatula,20,spatula,20
P01_109_600.jpg,P01_109,onion,16,onion,16
P01_109_602.jpg,P01_109,spatula,20,spatula,20
P01_109_604.jpg,P01_109,spatula,20,spatula,20
P01_109_605.jpg,P01_109,pan,5,pan,5
P01_109_606.jpg,P01_109,spatula,20,spatula,20
P01_109_608.jpg,P01_109,spatula,20,spatula,20
P01_109_609.jpg,P01_109,spatula,20,spatula,20
P01_109_61.jpg,P01_109,knife,4,knife,4
P01_109_612.jpg,P01_109,spatula,20,spatula,20
P01_109_613.jpg,P01_109,pan,5,pan,5
P01_109_614.jpg,P01_109,spatula,20,spatula,20
P01_109_618.jpg,P01_109,spatula,20,spatula,20
P01_109_620.jpg,P01_109,spatula,20,spatula,20
P01_109_625.jpg,P01_109,cloth,17,cloth,17
P01_109_626.jpg,P01_109,hand,11,hand,11
P01_109_627.jpg,P01_109,cloth,17,cloth,17
P01_109_628.jpg,P01_109,cloth,17,cloth,17
P01_109_629.jpg,P01_109,tap,0,tap,0
P01_109_630.jpg,P01_109,cloth,17,cloth,17
P01_109_631.jpg,P01_109,tap,0,tap,0
P01_109_632.jpg,P01_109,glass,10,glass,10
P01_109_634.jpg,P01_109,glass,10,glass,10
P01_109_636.jpg,P01_109,cloth,17,cloth,17
