narration_id,start_frame,stop_frame,narration,all_nouns,all_noun_classes
P02_108_103,11074,11122,pick up glass,glass,10
P02_108_104,11197,11225,put down glass,glass,10
P02_108_108,11713,11755,pick up glass,glass,10
P02_108_109,11803,11883,put down glass next to sink,glass,10
P02_108_110,11896,11966,open cupboard,cupboard,3
P02_108_111,11977,12032,pick up glass,glass,10
P02_108_112,12040,12085,close cupboard,cupboard,3
P02_108_113,12098,12173,put down glass,glass,10
P02_108_114,12205,12278,rub hands,hand,11
P02_108_116,12351,12564,lock bowl into food processor,bowl,7
P02_108_117,12569,12670,lock lid into processor,lid,6
P02_108_121,13156,13232,close drawer,drawer,8
P02_108_125,15257,15593,pour hot water from kettle into glass,glass,10
P02_108_126,15577,15662,pick up glass,glass,10
P02_108_127,15666,15800,pour more hot water into glass,glass,10
P02_108_130,16124,16403,pour cold water into glass,glass,10
P02_108_132,16510,16602,put down glass,glass,10
P02_108_134,16684,16723,pick up glass,glass,10
P02_108_135,16885,16948,pour some water from glass into sink,glass,10
P02_108_138,17200,17395,pour cold water into glass,glass,10
P02_108_14,1770,1838,open cupboard,cupboard,3
P02_108_140,17487,17659,put down glass,glass,10
P02_108_142,17804,17852,pick up glass,glass,10
P02_108_143,17841,18192,pour warm water from glass into sink,glass,10
P02_108_144,18232,18437,put down glass,glass,10
P02_108_146,18481,18700,pour cold water into glass from filter,glass,10
P02_108_149,18881,19001,open drawer,drawer,8
P02_108_150,19006,19089,pick up spoon,spoon,1
P02_108_151,19060,19127,close drawer,drawer,8
P02_108_155,19647,19755,pour oil from bottle into spoon,spoon,1
P02_108_156,19769,19802,pour oil from spoon into bowl,spoon,1
P02_108_156,19769,19802,pour oil from spoon into bowl,bowl,7
P02_108_157,20019,20069,pour oil from bottle into spoon,spoon,1
P02_108_158,20067,20102,pour oil from spoon into bowl,spoon,1
P02_108_158,20067,20102,pour oil from spoon into bowl,bowl,7
P02_108_161,20200,20457,pour water from glass into bowl,glass,10
P02_108_161,20200,20457,pour water from glass into bowl,bowl,7
P02_108_162,20459,20522,put down glass,glass,10
P02_108_163,20527,22190,mix mixture in bowl using spoon,bowl,7
P02_108_163,20527,22190,mix mixture in bowl using spoon,spoon,1
P02_108_166,22389,23176,mix mixture in bowl using spoon,bowl,7
P02_108_166,22389,23176,mix mixture in bowl using spoon,spoon,1
P02_108_167,23155,23307,clear spoon from any mixture,spoon,1
P02_108_168,23312,23386,put down spoon,spoon,1
P02_108_169,23390,23619,mix mixture using hand in bowl,hand,11
P02_108_169,23390,23619,mix mixture using hand in bowl,bowl,7
P02_108_171,23726,23928,pick some flour from bag using hand,hand,11
P02_108_172,23958,24006,pour flour from hand into bowl,hand,11
P02_108_172,23958,24006,pour flour from hand into bowl,bowl,7
P02_108_173,24021,24534,mix dough using hand,dough,25
P02_108_173,24021,24534,mix dough using hand,hand,11
P02_108_174,24551,24650,pick up flour from bag using hand,hand,11
P02_108_175,24703,24758,add flour from hand into bowl,hand,11
P02_108_175,24703,24758,add flour from hand into bowl,bowl,7
P02_108_176,24750,26794,mix dough,dough,25
P02_108_179,27075,27416,mix dough,dough,25
P02_108_18,2191,2296,put biscuit in cupboard,cupboard,3
P02_108_180,27164,27447,remove dough from bowl,dough,25
P02_108_180,27164,27447,remove dough from bowl,bowl,7
P02_108_182,27498,27589,pour oil from bottle into bowl,bowl,7
P02_108_184,27672,29028,shape dough using both hands,dough,25
P02_108_184,27672,29028,shape dough using both hands,hand,11
P02_108_185,29012,29786,put ball of dough inside bowl,bowl,7
P02_108_186,29283,29908,pick up dough using both hands,dough,25
P02_108_186,29283,29908,pick up dough using both hands,hand,11
P02_108_187,29856,30719,shape dough again using both hands,dough,25
P02_108_187,29856,30719,shape dough again using both hands,hand,11
P02_108_188,30705,32057,put ball of dough into bowl,bowl,7
P02_108_189,32299,32382,open tap,tap,0
P02_108_190,32405,32629,clean hands,hand,11
P02_108_191,33316,33383,close tap,tap,0
P02_108_192,33442,33542,dry hands using towel,hand,11
P02_108_193,33707,33783,open drawer,drawer,8
P02_108_194,33780,33824,close drawer,drawer,8
P02_108_195,33842,33879,open drawer,drawer,8
P02_108_199,34027,34115,cover dough using towel,dough,25
P02_108_20,2388,2476,put biscuits in cupboard,cupboard,3
P02_108_201,34148,34270,cover bowl using towel,bowl,7
P02_108_203,34446,34587,put down bowl,bowl,7
P02_108_206,34815,34870,pick up spoon and knife,spoon,1
P02_108_206,34815,34870,pick up spoon and knife,knife,4
P02_108_208,34995,35126,"put down spoon, knife and salt",spoon,1
P02_108_208,34995,35126,"put down spoon, knife and salt",knife,4
P02_108_217,36159,36197,open cupboard,cupboard,3
P02_108_218,36200,36319,put pot and strainer into cupboard,cupboard,3
P02_108_219,36296,36381,close cupboard,cupboard,3
P02_108_22,2564,2624,put biscuits in cupboard,cupboard,3
P02_108_225,37052,37101,empty pan from water,pan,5
P02_108_226,37119,37186,put down pan,pan,5
P02_108_227,37753,37840,open tap,tap,0
P02_108_228,38124,38186,close tap,tap,0
P02_108_229,38176,38205,pick up sponge,sponge,9
P02_108_230,38208,38266,put down sponge,sponge,9
P02_108_232,38282,38359,put washing liquid on sponge,sponge,9
P02_108_234,38385,38994,sponge pan,pan,5
P02_108_235,38990,39061,open tap,tap,0
P02_108_236,39051,39178,rinse sponge,sponge,9
P02_108_237,39171,39353,squeeze sponge,sponge,9
P02_108_238,39346,39373,put down sponge,sponge,9
P02_108_239,39366,39798,rinse pan,pan,5
P02_108_24,2734,2757,put biscuits in cupboard,cupboard,3
P02_108_240,39779,39828,close tap,tap,0
P02_108_241,39835,39881,pick up sponge,sponge,9
P02_108_243,39943,40012,pour washing liquid onto sponge,sponge,9
P02_108_245,40052,40546,sponge pan,pan,5
P02_108_246,40602,40628,put down sponge,sponge,9
P02_108_247,40637,40695,open tap,tap,0
P02_108_248,41241,41356,close tap,tap,0
P02_108_249,41367,41480,put down pan,pan,5
P02_108_254,42348,42440,open tap,tap,0
P02_108_256,42799,42830,close tap,tap,0
P02_108_26,2876,2935,put biscuits in cupboard,cupboard,3
P02_108_262,43313,43336,pick up sponge,sponge,9
P02_108_263,43338,43375,open tap,tap,0
P02_108_264,43377,43403,rinse sponge,sponge,9
P02_108_265,43404,43433,close tap,tap,0
P02_108_266,43430,43462,squeeze sponge,sponge,9
P02_108_269,43731,43760,put down sponge,sponge,9
P02_108_270,43761,43807,open tap,tap,0
P02_108_272,44124,44159,close tap,tap,0
P02_108_274,44198,44251,pick up spoon,spoon,1
P02_108_275,44253,44292,pick up sponge,sponge,9
P02_108_276,44287,44378,sponge spoon,spoon,1
P02_108_277,44342,44420,put down sponge,sponge,9
P02_108_278,44417,44460,open tap,tap,0
P02_108_279,44461,44555,rinse spoon,spoon,1
P02_108_28,3023,3062,put tin in cupboard,cupboard,3
P02_108_280,44559,44596,close tap,tap,0
P02_108_281,44586,44645,put down spoon,spoon,1
P02_108_282,44650,44681,pick up glass,glass,10
P02_108_283,44683,44723,open tap,tap,0
P02_108_284,44728,44786,rinse glass,glass,10
P02_108_285,44733,44782,close tap,tap,0
P02_108_286,44785,44825,pick up sponge,sponge,9
P02_108_287,44822,45212,sponge glass,glass,10
P02_108_288,45213,45239,put down sponge,sponge,9
P02_108_289,45244,45288,open tap,tap,0
