narration_id,start_frame,stop_frame,narration,noun,noun_class,all_nouns,all_noun_classes
P01_01_10,1498,1572,open drawer,drawer,8,drawer,8
P01_01_101,28888,28932,open cupboard,cupboard,3,cupboard,3
P01_01_102,28927,28980,put cup into cupboard,cup,13,cupboard,3
P01_01_103,29113,29232,take container and lid,container,21,container,21
P01_01_103,29113,29232,take container and lid,container,21,lid,6
P01_01_104,29302,29347,put container on top of counter,container,21,container,21
P01_01_105,29520,29564,open container,container,21,container,21
P01_01_106,29593,29662,put container inside container,container,21,container,21
P01_01_106,29593,29662,put container inside container,container,21,container,21
P01_01_107,29748,29819,close lid,lid,6,lid,6
P01_01_108,29978,30036,put container in cupboard,container,21,container,21
P01_01_108,29978,30036,put container in cupboard,container,21,cupboard,3
P01_01_109,30141,30198,take plate,plate,2,plate,2
P01_01_11,1753,1879,close fridge,fridge,12,fridge,12
P01_01_110,30279,30475,put plate down,plate,2,plate,2
P01_01_111,30489,30596,open drawer,drawer,8,drawer,8
P01_01_112,30557,30692,take something,drawer,8,drawer,8
P01_01_113,30759,30865,put down something,drawer,8,drawer,8
P01_01_114,31008,31082,open drawer,drawer,8,drawer,8
P01_01_115,31072,31147,take fork,fork,14,fork,14
P01_01_116,31160,31215,put down fork,fork,14,fork,14
P01_01_117,31271,31324,take spatula,spatula,20,spatula,20
P01_01_120,32522,32578,take container,container,21,container,21
P01_01_121,32783,32845,open fridge,fridge,12,fridge,12
P01_01_122,32844,32940,put container into fridge,container,21,container,21
P01_01_122,32844,32940,put container into fridge,container,21,fridge,12
P01_01_123,32956,33001,close fridge,fridge,12,fridge,12
P01_01_124,33204,33269,take spatula,spatula,20,spatula,20
P01_01_13,2507,2553,open cupboard,cupboard,3,cupboard,3
P01_01_140,39285,39345,take spatula,spatula,20,spatula,20
P01_01_142,39753,39813,open cupboard,cupboard,3,cupboard,3
P01_01_154,43075,43128,take spatula,spatula,20,spatula,20
P01_01_155,43141,43202,take cutting board with onion,board:cutting,18,onion,16
P01_01_156,43227,43342,pouring onion,onion,16,onion,16
P01_01_16,2865,2925,close cupboard,cupboard,3,cupboard,3
P01_01_163,45185,45269,open drawer,drawer,8,drawer,8
P01_01_164,45297,45402,take spoon,spoon,1,spoon,1
P01_01_165,45468,45695,pour salt onto spoon,salt,38,spoon,1
P01_01_169,45966,46006,put down spoon,spoon,1,spoon,1
P01_01_17,3099,3180,open drawer,drawer,8,drawer,8
P01_01_171,46172,46216,take spatula,spatula,20,spatula,20
P01_01_177,49172,49252,put down spatula,spatula,20,spatula,20
P01_01_178,49273,49344,open cupboard,cupboard,3,cupboard,3
P01_01_179,49344,49510,take something,cupboard,3,cupboard,3
P01_01_18,3210,3360,take knife,knife,4,knife,4
P01_01_180,49456,49546,put down something,knife,4,knife,4
P01_01_184,50442,50498,take spatula,spatula,20,spatula,20
P01_01_187,51855,51918,put down spatula,spatula,20,spatula,20
P01_01_189,52175,52261,take knife,knife,4,knife,4
P01_01_19,3213,3261,take knife,knife,4,knife,4
P01_01_192,53155,53350,pour tofu onto pan,tofu,81,pan,5
P01_01_195,54250,54310,put down spatula,spatula,20,spatula,20
P01_01_20,3283,3344,put down knife,knife,4,knife,4
P01_01_200,55298,55343,take spatula,spatula,20,spatula,20
P01_01_207,57237,57300,open cupboard,cupboard,3,cupboard,3
P01_01_208,57303,57412,put rice into cupboard,rice,55,cupboard,3
