narration_id,video_id,noun,noun_class,all_nouns,all_noun_classes
P01_01_0,P01_01,door,3,['door'],[3]
P01_01_1,P01_01,light,114,['light'],[114]
P01_01_10,P01_01,drawer,8,['drawer'],[8]
P01_01_100,P01_01,cup,13,['cup'],[13]
P01_01_101,P01_01,cupboard,3,['cupboard'],[3]
P01_01_102,P01_01,cup,13,"['cup', 'cupboard']","[13, 3]"
P01_01_103,P01_01,container,21,"['container', 'lid']","[21, 6]"
P01_01_104,P01_01,container,21,"['container', 'top:counter']","[21, 42]"
P01_01_105,P01_01,container,21,['container'],[21]
P01_01_106,P01_01,container,21,"['container', 'container']","[21, 21]"
P01_01_107,P01_01,lid,6,['lid'],[6]
P01_01_108,P01_01,container,21,"['container', 'cupboard']","[21, 3]"
P01_01_109,P01_01,plate,2,['plate'],[2]
P01_01_11,P01_01,fridge,12,['fridge'],[12]
P01_01_110,P01_01,plate,2,['plate'],[2]
P01_01_111,P01_01,drawer,8,['drawer'],[8]
P01_01_112,P01_01,drawer,8,['drawer'],[8]
P01_01_113,P01_01,drawer,8,['drawer'],[8]
P01_01_114,P01_01,drawer,8,['drawer'],[8]
P01_01_115,P01_01,fork,14,['fork'],[14]
P01_01_116,P01_01,fork,14,['fork'],[14]
P01_01_117,P01_01,spatula,20,['spatula'],[20]
P01_01_118,P01_01,vegetable,94,['vegetable'],[94]
P01_01_12,P01_01,vegetable,94,['vegetable'],[94]
P01_01_120,P01_01,container,21,['container'],[21]
P01_01_121,P01_01,fridge,12,['fridge'],[12]
P01_01_122,P01_01,container,21,"['container', 'fridge']","[21, 12]"
P01_01_123,P01_01,fridge,12,['fridge'],[12]
P01_01_124,P01_01,spatula,20,['spatula'],[20]
P01_01_125,P01_01,vegetable,94,['vegetable'],[94]
P01_01_126,P01_01,grater,96,['grater'],[96]
P01_01_127,P01_01,grater,96,['grater'],[96]
P01_01_128,P01_01,carrot,41,['carrot'],[41]
P01_01_129,P01_01,carrot,41,['carrot'],[41]
P01_01_13,P01_01,cupboard,3,['cupboard'],[3]
P01_01_130,P01_01,grater,96,['grater'],[96]
P01_01_131,P01_01,carrot,41,['carrot'],[41]
P01_01_132,P01_01,carrot,41,['carrot'],[41]
P01_01_133,P01_01,carrot,41,['carrot'],[41]
P01_01_134,P01_01,carrot,41,['carrot'],[41]
P01_01_135,P01_01,grater,96,['grater'],[96]
P01_01_136,P01_01,carrot,41,"['carrot', 'bin']","[41, 36]"
P01_01_137,P01_01,grater,96,['grater'],[96]
P01_01_138,P01_01,grater,96,['grater'],[96]
P01_01_139,P01_01,carrot,41,"['carrot', 'bin']","[41, 36]"
P01_01_14,P01_01,board:cutting,18,['board:cutting'],[18]
P01_01_140,P01_01,spatula,20,['spatula'],[20]
P01_01_141,P01_01,vegetable,94,['vegetable'],[94]
P01_01_142,P01_01,cupboard,3,['cupboard'],[3]
P01_01_143,P01_01,saucepan,5,['saucepan'],[5]
P01_01_144,P01_01,saucepan,5,['saucepan'],[5]
P01_01_145,P01_01,hob,24,['hob'],[24]
P01_01_146,P01_01,kettle,44,['kettle'],[44]
P01_01_147,P01_01,water,27,"['water', 'saucepan']","[27, 5]"
P01_01_148,P01_01,water:boiling,27,['water:boiling'],[27]
P01_01_149,P01_01,kettle,44,['kettle'],[44]
P01_01_15,P01_01,board:cutting,18,['board:cutting'],[18]
P01_01_150,P01_01,oil:olive,31,['oil:olive'],[31]
P01_01_151,P01_01,oil,31,['oil'],[31]
P01_01_152,P01_01,oil,31,['oil'],[31]
P01_01_153,P01_01,oil,31,['oil'],[31]
P01_01_154,P01_01,spatula,20,['spatula'],[20]
P01_01_155,P01_01,board:cutting,18,"['board:cutting', 'onion']","[18, 16]"
P01_01_156,P01_01,onion,16,['onion'],[16]
P01_01_157,P01_01,board:cutting,18,['board:cutting'],[18]
P01_01_158,P01_01,vegetable,94,['vegetable'],[94]
P01_01_159,P01_01,vegetable,94,['vegetable'],[94]
P01_01_16,P01_01,cupboard,3,['cupboard'],[3]
P01_01_160,P01_01,salt,38,['salt'],[38]
P01_01_161,P01_01,salt,38,['salt'],[38]
P01_01_162,P01_01,salt,38,['salt'],[38]
P01_01_163,P01_01,drawer,8,['drawer'],[8]
P01_01_164,P01_01,spoon,1,['spoon'],[1]
P01_01_165,P01_01,salt,38,"['salt', 'spoon']","[38, 1]"
P01_01_166,P01_01,salt,38,"['salt', 'water']","[38, 27]"
P01_01_167,P01_01,water,27,['water'],[27]
P01_01_168,P01_01,salt,38,['salt'],[38]
P01_01_169,P01_01,spoon,1,['spoon'],[1]
P01_01_17,P01_01,drawer,8,['drawer'],[8]
P01_01_170,P01_01,salt,38,['salt'],[38]
P01_01_171,P01_01,spatula,20,['spatula'],[20]
P01_01_172,P01_01,vegetable,94,['vegetable'],[94]
P01_01_173,P01_01,hob,24,['hob'],[24]
P01_01_174,P01_01,vegetable,94,['vegetable'],[94]
P01_01_175,P01_01,vegetable,94,['vegetable'],[94]
P01_01_176,P01_01,vegetable,94,['vegetable'],[94]
P01_01_177,P01_01,spatula,20,['spatula'],[20]
P01_01_178,P01_01,cupboard,3,['cupboard'],[3]
P01_01_179,P01_01,cupboard,3,['cupboard'],[3]
P01_01_18,P01_01,knife,4,['knife'],[4]
P01_01_180,P01_01,knife,4,['knife'],[4]
P01_01_181,P01_01,rice,55,['rice'],[55]
P01_01_182,P01_01,rice,55,['rice'],[55]
P01_01_183,P01_01,rice,55,['rice'],[55]
P01_01_184,P01_01,spatula,20,['spatula'],[20]
P01_01_185,P01_01,vegetable,94,['vegetable'],[94]
P01_01_186,P01_01,vegetable,94,['vegetable'],[94]
P01_01_187,P01_01,spatula,20,['spatula'],[20]
P01_01_188,P01_01,tofu,81,['tofu'],[81]
P01_01_189,P01_01,knife,4,['knife'],[4]
P01_01_19,P01_01,knife,4,['knife'],[4]
P01_01_190,P01_01,tofu,81,['tofu'],[81]
P01_01_191,P01_01,container:tofu,21,['container:tofu'],[21]
P01_01_192,P01_01,tofu,81,"['tofu', 'pan']","[81, 5]"
P01_01_193,P01_01,container:tofu,21,['container:tofu'],[21]
P01_01_194,P01_01,vegetable,94,"['vegetable', 'tofu']","[94, 81]"
